contract_address,implementation_address,contract_name,function_name,signature,state_mutability,input_params,output_params
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,onTokenTransfer,a4c0ed36,nonpayable,"[{""name"": """", ""type"": ""address"", ""position"": 1}, {""name"": ""stake_amount"", ""type"": ""uint256"", ""position"": 2}, {""name"": ""data"", ""type"": ""bytes"", ""position"": 3}]","[{""name"": """", ""type"": ""bool"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,pause,8456cb59,nonpayable,[],[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,paused,5c975abb,view,[],"[{""name"": """", ""type"": ""bool"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,stake_token,640415bf,view,[],"[{""name"": """", ""type"": ""address"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,supportsInterface,01ffc9a7,pure,"[{""name"": ""interfaceId"", ""type"": ""bytes4"", ""position"": 1}]","[{""name"": """", ""type"": ""bool"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,unpause,3f4ba83a,nonpayable,[],[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,unwrapTokens,4694bd1e,nonpayable,"[{""name"": ""_unwrapper"", ""type"": ""address"", ""position"": 1}, {""name"": ""_token"", ""type"": ""address"", ""position"": 2}]",[]
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,validator_withdrawal_credentials,24db4c46,view,"[{""name"": """", ""type"": ""bytes"", ""position"": 1}]","[{""name"": """", ""type"": ""bytes32"", ""position"": 1}]"
0x0b98057ea310f4d31f2a452b414647007d1645d9,0x49dE1aced385334F1a66d86Db363264eB5b6A708,SBCDepositContract,withdrawableAmount,be7ab51b,view,"[{""name"": """", ""type"": ""address"", ""position"": 1}]","[{""name"": """", ""type"": ""uint256"", ""position"": 1}]"
0x1332d2b4dc83238b621b7f7d0f72fec58bb81a9b,,BackedOracleProxy,admin,f851a440,nonpayable,[],"[{""name"": ""admin_"", ""type"": ""address"", ""position"": 1}]"
